"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mtg1",0.00222354217165244,0.297171489117007,0.033,0.052,1,"CM4","Mtg1"
"Gm450511",0.00224296376473495,0.166441283922135,0.008,0.019,1,"CM4","Gm45051"
"Hyls11",0.00226848597731562,0.341090349358216,0.019,0.034,1,"CM4","Hyls1"
"Fcrla",0.00229879483569924,2.27702525700885,0.017,0.008,1,"CM4","Fcrla"
"Amdhd2",0.00230016939719341,0.125588387018277,0.019,0.034,1,"CM4","Amdhd2"
"Srp54a",0.00235801611343179,0.693038335535096,0.061,0.087,1,"CM4","Srp54a"
"Cops8",0.00236374783749203,0.54204567690536,0.112,0.148,1,"CM4","Cops8"
"Frmd81",0.00236689950306223,0.287418737919858,0.016,0.03,1,"CM4","Frmd8"
"Lix1l",0.00236905690785561,0.675196473473265,0.109,0.146,1,"CM4","Lix1l"
"Trmo1",0.00237734763927123,0.156219835258062,0.01,0.021,1,"CM4","Trmo"
"Arf3",0.0023775510799968,0.558680756351095,0.071,0.099,1,"CM4","Arf3"
"Zrsr2",0.00239708354220664,0.661337287315586,0.056,0.08,1,"CM4","Zrsr2"
"Zfp931",0.00239787826396958,0.354562009248477,0.014,0.027,1,"CM4","Zfp931"
"Haus2",0.0024063264595884,0.668150257384472,0.03,0.047,1,"CM4","Haus2"
"Rnf44",0.00242160838871051,0.702202103424366,0.054,0.078,1,"CM4","Rnf44"
"Sox11",0.00242351763489716,2.02469527360147,0.029,0.018,1,"CM4","Sox11"
"Syngr2",0.00243329395283719,1.38668166025331,0.098,0.079,1,"CM4","Syngr2"
"Txndc5",0.00243730167112756,1.73522136765617,0.083,0.065,1,"CM4","Txndc5"
"Fyb",0.00245390374776366,2.2009659046493,0.019,0.01,1,"CM4","Fyb"
"Nckap5l",0.00246607130665137,0.564854233089068,0.024,0.041,1,"CM4","Nckap5l"
"Sptssa",0.00246617478211929,1.30076967563548,0.157,0.141,1,"CM4","Sptssa"
"Sbds",0.00247820085553136,0.812363617250958,0.07,0.099,1,"CM4","Sbds"
"Nkain3",0.00248166150003349,2.68731284703819,0.016,0.008,1,"CM4","Nkain3"
"Sdf4",0.00248299829155574,0.752586222449991,0.109,0.148,1,"CM4","Sdf4"
"Ppp1r81",0.00248854958203218,0.498200502719048,0.045,0.066,1,"CM4","Ppp1r8"
"Stfa3",0.00251204583092259,2.33785539051759,0.019,0.01,1,"CM4","Stfa3"
